Category ID;Active (0/1);Name *;Parent category;Root category (0/1);Description;Meta title;Meta description;URL rewritten;Image URL
162;1;Menor que 100cm;159;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=429&field=image_512
163;1;Mayor que 100cm;159;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=428&field=image_512
164;1;Cestas;145;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=87&field=image_512
165;1;CTB / MTB;164;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=93&field=image_512
166;1;Infantiles;164;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=88&field=image_512
167;1;Cuentakilometros;145;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=99&field=image_512
168;1;Smartwatch;167;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=516&field=image_512
169;1;Varios;167;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=101&field=image_512
170;1;Recambios;167;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=425&field=image_512
171;1;Sigma;167;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=100&field=image_512
172;1;Complementos;145;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=94&field=image_512
173;1;Protectores cuadro;172;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=96&field=image_512
174;1;Tapones de valvula;172;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=97&field=image_512
175;1;Adhesivos;172;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=95&field=image_512
176;1;Varios;172;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=98&field=image_512
177;1;Espejos;145;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=72&field=image_512
178;1;Estabilizadores;145;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=113&field=image_512
179;1;Recambios;178;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=115&field=image_512
180;1;Estabilizadores;178;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=114&field=image_512
181;1;Expositores y perchas;145;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=133&field=image_512
182;1;Expositores;181;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=116&field=image_512
183;1;Perchas;181;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=132&field=image_512
184;1;Guardabarros;145;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=117&field=image_512
185;1;Infladores;145;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=26&field=image_512
186;1;Accesorios Infladores;185;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=27&field=image_512
187;1;Abrazaderas;186;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=123&field=image_512
188;1;Adaptadores;186;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=28&field=image_512
189;1;Racord;186;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=118&field=image_512
190;1;Bombonas CO2;186;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=121&field=image_512
191;1;Clásicas;185;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=122&field=image_512
192;1;Infladores taller;185;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=120&field=image_512
193;1;Mini infladores;185;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=58&field=image_512
194;1;Luces;145;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=55&field=image_512
195;1;Recambios y baterias;194;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=446&field=image_512
196;1;Trasera;194;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=129&field=image_512
197;1;Conjuntos;194;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=56&field=image_512
198;1;Dinamo;194;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=124&field=image_512
199;1;Reflectores;194;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=128&field=image_512
200;1;Delantera;194;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=57&field=image_512
201;1;Patas;145;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=131&field=image_512
202;1;Portabidones;145;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=24&field=image_512
203;1;Acero;202;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=134&field=image_512
204;1;Aluminio;202;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=25&field=image_512
205;1;Fibra;202;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=137&field=image_512
206;1;Carbono;202;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=135&field=image_512
207;1;Varios;202;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=139&field=image_512
208;1;Infantil;202;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=138&field=image_512
209;1;Portabultos;145;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=140&field=image_512
210;1;Pulpos;209;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=142&field=image_512
211;1;Trasero;209;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=143&field=image_512
212;1;A la tija;209;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=144&field=image_512
