Category ID;Active (0/1);Name *;Parent category;Root category (0/1);Description;Meta title;Meta description;URL rewritten;Image URL
100;1;Bicicletas;1;1;;;;bicicletas;https://jlwenti.com/website/image?model=product.public.category&id=455&field=image_512
101;1;Correpasillos;100;0;;;;bicicletas-correpasillos;https://jlwenti.com/website/image?model=product.public.category&id=301&field=image_512
102;1;12 pulgadas;100;0;;;;bicicletas-12-pulgadas;https://jlwenti.com/website/image?model=product.public.category&id=89&field=image_512
103;1;Niño;102;0;;;;bicicletas-12-pulgadas-nino;https://jlwenti.com/website/image?model=product.public.category&id=90&field=image_512
104;1;Niña;102;0;;;;bicicletas-12-pulgadas-nina;https://jlwenti.com/website/image?model=product.public.category&id=91&field=image_512
105;1;14 Pulgadas;100;0;;;;bicicletas-14-pulgadas;https://jlwenti.com/website/image?model=product.public.category&id=17&field=image_512
106;1;Niño;105;0;;;;bicicletas-14-pulgadas-nino;https://jlwenti.com/website/image?model=product.public.category&id=110&field=image_512
107;1;Niña;105;0;;;;bicicletas-14-pulgadas-nina;https://jlwenti.com/website/image?model=product.public.category&id=109&field=image_512
108;1;16 pulgadas;100;0;;;;bicicletas-16-pulgadas;https://jlwenti.com/website/image?model=product.public.category&id=6&field=image_512
109;1;Niño;108;0;;;;bicicletas-16-pulgadas-nino;https://jlwenti.com/website/image?model=product.public.category&id=8&field=image_512
110;1;Niña;108;0;;;;bicicletas-16-pulgadas-nina;https://jlwenti.com/website/image?model=product.public.category&id=7&field=image_512
111;1;18 pulgadas;100;0;;;;bicicletas-18-pulgadas;https://jlwenti.com/website/image?model=product.public.category&id=111&field=image_512
112;1;Niña;111;0;;;;bicicletas-18-pulgadas-nina;https://jlwenti.com/website/image?model=product.public.category&id=112&field=image_512
113;1;Niño;111;0;;;;bicicletas-18-pulgadas-nino;https://jlwenti.com/website/image?model=product.public.category&id=246&field=image_512
114;1;20 pulgadas;100;0;;;;bicicletas-20-pulgadas;https://jlwenti.com/website/image?model=product.public.category&id=10&field=image_512
115;1;Niño;114;0;;;;bicicletas-20-pulgadas-nino;https://jlwenti.com/website/image?model=product.public.category&id=13&field=image_512
