Category ID;Active (0/1);Name *;Parent category;Root category (0/1);Description;Meta title;Meta description;URL rewritten;Image URL
2;1;Bicicletas;Home;1;;;;;https://jlwenti.com/website/image?model=product.public.category&id=455&field=image_512
3;1;Correpasillos;Bicicletas;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=301&field=image_512
4;1;12 pulgadas;Bicicletas;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=89&field=image_512
5;1;Niño;12 pulgadas;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=90&field=image_512
6;1;Niña;12 pulgadas;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=91&field=image_512
7;1;14 Pulgadas;Bicicletas;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=17&field=image_512
8;1;Niño;14 Pulgadas;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=110&field=image_512
9;1;Niña;14 Pulgadas;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=109&field=image_512
10;1;16 pulgadas;Bicicletas;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=6&field=image_512
11;1;Niño;16 pulgadas;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=8&field=image_512
12;1;Niña;16 pulgadas;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=7&field=image_512
13;1;18 pulgadas;Bicicletas;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=111&field=image_512
14;1;Niña;18 pulgadas;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=112&field=image_512
15;1;Niño;18 pulgadas;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=246&field=image_512
16;1;20 pulgadas;Bicicletas;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=10&field=image_512
17;1;Niño;20 pulgadas;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=13&field=image_512
18;1;Niña;20 pulgadas;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=11&field=image_512
19;1;24 pulgadas;Bicicletas;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=19&field=image_512
20;1;Hombre;24 pulgadas;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=252&field=image_512
21;1;Niña;24 pulgadas;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=20&field=image_512
22;1;26 pulgadas;Bicicletas;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=103&field=image_512
23;1;Aluminio;26 pulgadas;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=106&field=image_512
24;1;Hombre;Aluminio;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=414&field=image_512
25;1;Talla 15;Hombre;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=416&field=image_512
26;1;Talla 17;Hombre;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=417&field=image_512
27;1;Talla 18;Hombre;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=418&field=image_512
28;1;Talla 19;Hombre;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=419&field=image_512
29;1;Talla 20;Hombre;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=420&field=image_512
30;1;Talla 21;Hombre;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=443&field=image_512
31;1;Mujer;Aluminio;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=415&field=image_512
32;1;Talla 15;Mujer;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=421&field=image_512
33;1;Talla 17;Mujer;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=422&field=image_512
34;1;Talla 18;Mujer;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=423&field=image_512
35;1;Talla 19;Mujer;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=424&field=image_512
36;1;Hombre;26 pulgadas;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=107&field=image_512
37;1;Mujer;26 pulgadas;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=257&field=image_512
38;1;Paseo/Cruiser;26 pulgadas;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=104&field=image_512
39;1;"27,5"" pulgadas";Bicicletas;0;;;;;https://jlwenti.com/website/image?model=product.public.category&id=437&field=image_512
