Category ID;Active (0/1);Name *;Parent category;Root category (0/1);Description;Meta title;Meta description;URL rewritten;Image URL
100;1;Bicicletas;1;1;;;;bicicletas-100;https://jlwenti.com/website/image?model=product.public.category&id=455&field=image_512
101;1;Correpasillos;100;0;;;;bicicletas-correpasillos-101;https://jlwenti.com/website/image?model=product.public.category&id=301&field=image_512
102;1;12 pulgadas;100;0;;;;bicicletas-12-pulgadas-102;https://jlwenti.com/website/image?model=product.public.category&id=89&field=image_512
103;1;Niño;102;0;;;;bicicletas-12-pulgadas-nino-103;https://jlwenti.com/website/image?model=product.public.category&id=90&field=image_512
104;1;Niña;102;0;;;;bicicletas-12-pulgadas-nina-104;https://jlwenti.com/website/image?model=product.public.category&id=91&field=image_512
105;1;14 Pulgadas;100;0;;;;bicicletas-14-pulgadas-105;https://jlwenti.com/website/image?model=product.public.category&id=17&field=image_512
106;1;Niño;105;0;;;;bicicletas-14-pulgadas-nino-106;https://jlwenti.com/website/image?model=product.public.category&id=110&field=image_512
107;1;Niña;105;0;;;;bicicletas-14-pulgadas-nina-107;https://jlwenti.com/website/image?model=product.public.category&id=109&field=image_512
108;1;16 pulgadas;100;0;;;;bicicletas-16-pulgadas-108;https://jlwenti.com/website/image?model=product.public.category&id=6&field=image_512
109;1;Niño;108;0;;;;bicicletas-16-pulgadas-nino-109;https://jlwenti.com/website/image?model=product.public.category&id=8&field=image_512
110;1;Niña;108;0;;;;bicicletas-16-pulgadas-nina-110;https://jlwenti.com/website/image?model=product.public.category&id=7&field=image_512
111;1;18 pulgadas;100;0;;;;bicicletas-18-pulgadas-111;https://jlwenti.com/website/image?model=product.public.category&id=111&field=image_512
112;1;Niña;111;0;;;;bicicletas-18-pulgadas-nina-112;https://jlwenti.com/website/image?model=product.public.category&id=112&field=image_512
113;1;Niño;111;0;;;;bicicletas-18-pulgadas-nino-113;https://jlwenti.com/website/image?model=product.public.category&id=246&field=image_512
114;1;20 pulgadas;100;0;;;;bicicletas-20-pulgadas-114;https://jlwenti.com/website/image?model=product.public.category&id=10&field=image_512
115;1;Niño;114;0;;;;bicicletas-20-pulgadas-nino-115;https://jlwenti.com/website/image?model=product.public.category&id=13&field=image_512
116;1;Niña;114;0;;;;bicicletas-20-pulgadas-nina-116;https://jlwenti.com/website/image?model=product.public.category&id=11&field=image_512
117;1;24 pulgadas;100;0;;;;bicicletas-24-pulgadas-117;https://jlwenti.com/website/image?model=product.public.category&id=19&field=image_512
118;1;Hombre;117;0;;;;bicicletas-24-pulgadas-hombre-118;https://jlwenti.com/website/image?model=product.public.category&id=252&field=image_512
